attack_id,description,is_feasible,domain_status,penalty_value,fitness,defense_action,audit_verdict,source_provenance
ADV-01,Negative speed,False,VALID,100000.0,101000.0,REJECT_PENALIZE_SAFELY,PASS,REAL_TELEMETRY_CALIBRATED
ADV-02,Zero speed with cargo,False,VALID,100000.0,101000.0,REJECT_PENALIZE_SAFELY,PASS,REAL_TELEMETRY_CALIBRATED
ADV-03,45-knot extreme speed,False,VALID,100000.0,101000.0,REJECT_PENALIZE_SAFELY,PASS,REAL_TELEMETRY_CALIBRATED
ADV-04,NaN in decision vector,False,PHYSICALLY_INVALID,1000000.0,1000000.0,REJECT_PENALIZE_SAFELY,PASS,REAL_TELEMETRY_CALIBRATED
ADV-05,Inf in decision vector,False,PHYSICALLY_INVALID,1000000.0,1000000.0,REJECT_PENALIZE_SAFELY,PASS,REAL_TELEMETRY_CALIBRATED
ADV-06,Ammonia on Poseidon,False,VALID,100000.0,101000.0,REJECT_PENALIZE_SAFELY,PASS,REAL_TELEMETRY_CALIBRATED
ADV-07,"Cargo > DWT (15,000t on 8,500t DWT)",False,VALID,100000.0,101000.0,REJECT_PENALIZE_SAFELY,PASS,REAL_TELEMETRY_CALIBRATED
ADV-08,Duplicate assignment of Demand A to Triton,False,VALID,250000.0,251000.0,REJECT_PENALIZE_SAFELY,PASS,REAL_TELEMETRY_CALIBRATED
ADV-09,Mandatory Demand A unfulfilled,False,VALID,50000.0,51000.0,REJECT_PENALIZE_SAFELY,PASS,REAL_TELEMETRY_CALIBRATED
ADV-10,Demand C assigned to Poseidon,False,VALID,250000.0,251000.0,REJECT_PENALIZE_SAFELY,PASS,REAL_TELEMETRY_CALIBRATED
ADV-11,Demand A assigned to Ceto,False,VALID,250000.0,251000.0,REJECT_PENALIZE_SAFELY,PASS,REAL_TELEMETRY_CALIBRATED
ADV-12,Speed below min speed (2.0 kn on Poseidon),False,VALID,100000.0,101000.0,REJECT_PENALIZE_SAFELY,PASS,REAL_TELEMETRY_CALIBRATED
ADV-13,Liquid H2 on Triton,False,VALID,100000.0,101000.0,REJECT_PENALIZE_SAFELY,PASS,REAL_TELEMETRY_CALIBRATED
ADV-14,LNG on Triton,False,VALID,100000.0,101000.0,REJECT_PENALIZE_SAFELY,PASS,REAL_TELEMETRY_CALIBRATED
ADV-15,25 knots on Ceto (max 15 kn),False,VALID,100000.0,101000.0,REJECT_PENALIZE_SAFELY,PASS,REAL_TELEMETRY_CALIBRATED
