scene_id,scene_name,backend_function,input,expected_output,actual_output,UI_page,UI_value,status
SCENE-01,Normal Vessel Operation,ProductionFuelPredictor.predict_fuel_with_uncertainty,"CPS_Poseidon, STW=14.5kn, Draft=7.5m, Disp=35kt, Hs=1.0m, Wind=5m/s","Fuel ~2772 kg/h, 90% Conformal Interval, In-Domain=True","Fuel=2772.98 kg/h, Interval=[1952.14, 3593.82] kg/h, In-Domain=True (dist=0.000)",prediction_trust.py,"2772.98 kg/h (QI-C1-vessel-type, HIGH confidence)",PASS
SCENE-02,High Operating Demand,ProductionFuelPredictor.predict_fuel_with_uncertainty,"CPS_Poseidon, STW=19.5kn (+5kn), Draft=7.5m, Hs=2.0m, Wind=10m/s","Fuel increase >100% over baseline, In-Domain=True","Fuel=7678.98 kg/h (+176.9% surge), Interval=[6858.14, 8499.82] kg/h",vessel_detail.py,"7678.98 kg/h (Surge Alert: Schedule Acceleration)",PASS
SCENE-03,Slow-Steaming Scenario,ProductionFuelPredictor.predict_fuel_with_uncertainty,"CPS_Poseidon, 18.0 kn vs 15.0 kn comparison","Fuel reduction >30% at reduced speed","18.0 kn: 5934.33 kg/h; 15.0 kn: 3171.18 kg/h (46.56% reduction)",scenario_lab.py,"Simulated Savings: 46.56% (2763.15 kg/h saved)",PASS
SCENE-04,Alternative Fuels (Invariant Shaft Work),ProductionFuelPredictor + FleetEmissionsEngine,"CPS_Poseidon, E_shaft=56.8 GJ/h: VLSFO, MGO, Bio-Methanol, Ammonia, H2","Mass scaled by LHV & efficiency; WtW emissions calculated","VLSFO: 2740 kg/h; Bio-MeOH: 6136 kg/h; NH3: 6864 kg/h; H2: 936 kg/h",alternative_fuels.py,"H2: 936.28 kg/h (87.0% WtW GHG reduction)",PASS
SCENE-05,Injected Out-of-Distribution,ProductionFuelPredictor.predict_fuel_with_uncertainty,"CPS_Poseidon, STW=33kn, Draft=22m, Hs=14m, Wind=48m/s","d_env > 1.0, Routing=FALLBACK to MODEL-REAL-04 with penalty","d_env=1.366, Routing=FALLBACK, Model=MODEL-REAL-04, Warning logged",alerts_safety.py,"WARNING: Envelope Distance 1.366 (OOD Extrapolation)",PASS
SCENE-06,Injected Model Failure,ProductionFuelPredictor.predict_fuel_with_uncertainty,"CPS_Poseidon, Booster predict() raises RuntimeError","Automatic fallback to MODEL-REAL-04 in <5ms, Status=FALLBACK","Status=FALLBACK, Model=MODEL-REAL-04, Latency=3.637 ms, Warning logged",alerts_safety.py,"SYSTEM FALLBACK: Memory fault in primary booster",PASS
SCENE-07,Heterogeneous Fleet Optimization,Phase4FleetEvaluator + DEOptimizer,"3 vessels (Poseidon, Triton, Ceto), 3 itineraries, budget=2500 evals","Feasible speed recommendations with 0 schedule delay violations","Recommended speeds: [13.8, 14.2, 12.5] kn; Delay=0.0 h; Fuel=3.786 t",fleet_optimizer.py,"Optimal Fleet Dispatch: 0 Delays, J*_pen=873.22",PASS
SCENE-08,Vessel-Type-Aware Conditioning,ProductionFuelPredictor.predict_fuel_with_uncertainty,"14.0 kn baseline across Cruise (35kt), Small Cruise (12kt), Supply (4.5kt)","Distinct fuel rates scaled to naval displacement & type","Cruise: 2585.90 kg/h; Small Cruise: 797.00 kg/h; Supply: 1034.72 kg/h",fleet_overview.py,"Cruise: 2585.9 kg/h | Small: 797.0 kg/h | Supply: 1034.7 kg/h",PASS
SCENE-09,Operational Cost Minimization,SIHObjectiveEngine.evaluate_voyage,"CPS_Poseidon, 300nm: Fuel Focus (12kn) vs Cost Focus + Shore Power (14.5kn)","Itemized breakdown: C_fuel + C_elec + C_ops + C_carb + C_sched","Fuel-Focus: $48,263.65 (52.5t); Cost-Focus + OPS: $53,017.69 (56.9t)",operational_cost.py,"Itemized OPEX: Bunker $35.2k, Shore $1.8k, Carbon $15.9k",PASS
SCENE-10,Lifecycle Well-to-Wake GHG,SIHObjectiveEngine.evaluate_voyage,"CPS_Poseidon, 250nm: VLSFO, Fossil LNG, Bio-MeOH, Green NH3, Liquid H2","IMO MEPC.391(81) WtW = WtT + TtW + Slip","VLSFO: 165.51t; LNG: 161.65t; Bio-MeOH: 152.15t; NH3: 27.53t; H2: 21.54t",lifecycle_ghg.py,"Green NH3: 27.53 t CO2e | H2: 21.54 t CO2e",PASS
SCENE-11,Multi-Objective Pareto Trade-Offs,run_multiobjective_tradeoffs.py,"150 evaluated runs across 5 formulations on 3 vessels","Non-dominated Pareto front exposing trade-off frontier","13 Non-dominated solutions: Fuel [95.7-137.2t], Cost [$103k-$152k], GHG [157-244t]",pareto_tradeoffs.py,"13 Non-Dominated Solutions on Pareto Frontier",PASS
